City,Country,city_match,city_geocode,country_geocode,latitude,longitude,Specialization,Curator_lastname_firstname,Curator_nationality_or_residence,Regularity,Local_or_international,First_edition_year,Last_Edition_year,City,Country,Region
Istanbul,Turkey,TRUE,Istanbul,Turkey,41.0082376,28.9783589,Contemporary art,"Elmgreen Michael, Dragset Ingar","Denmark, Norway",Biennial,International,1987,2017,Istanbul,Turkey,Middle East
Yogyakarta,Indonesia,TRUE,Yogyakarta,Indonesia,-7.7955798,110.3694896,Contemporary art,n/a,n/a,Biennial,International,1988,2017,Yogyakarta,Indonesia,Asia
Resistencia,Argentina,TRUE,Resistencia,Argentina,-27.4518622,-58.9855547,Sculpture,n/a,n/a,Biennial,International,1988,2018,Resistencia,Argentina,Latin America
Cuenca,Ecuador,TRUE,Cuenca,Ecuador,-2.9001285,-79.0058965,Contemporary art,Fuenmayor Jesús,USA,Biennial,International,1988,2018,Cuenca,Ecuador,Latin America
Thessaloniki,Greece,TRUE,Thessaloniki,Greece,40.6400629,22.9444191,Photography,Petsini Penelope,Greece,Biennial,International,1989,2018,Thessaloniki,Greece,Asia
Wrocław,Poland,TRUE,Wrocław,Poland,51.1078852,17.0385376,New media art,Krajewski Piotr,Poland,Biennial,International,1989,2017,Wrocław,Poland,Eastern Europe
Adelaide,Australia,TRUE,Adelaide,Australia,-34.9284989,138.6007456,Contemporary art,Green Erica,Australia,Biennial,Local,1990,2018,Adelaide,Australia,Oceania
Lyon,France,TRUE,Lyon,France,45.764043,4.835659,Contemporary art,Lavigne Emma,France,Biennial,International,1991,2017,Lyon,France,Western Europe
Dakar,Senegal,TRUE,Dakar,Senegal,14.716677,-17.4676861,Contemporary art,"Sebti Alya, Rodriguez Marisol, Hultman Marianne, Ndikung Bonaventure Soh Bejeng, Costinas Cosmin","Morocco, Mexico, Sweden, Cameroon, Hong Kong",Biennial,International,1992,2018,Dakar,Senegal,Africa
Taipei,Taiwan,TRUE,Taipei,Taiwan,25.0329636,121.5654268,Contemporary art,"Wu Mali, Manacorda Francesco","Taiwan, Italy",Biennial,International,1992,2018,Taipei,Taiwan,Asia
Monterrey,Monterrey,TRUE,Monterrey,Monterrey,25.6866142,-100.3161126,Contemporary art,Kautz Willy,Brazil,Biennial,International,1992,2017,Monterrey,Monterrey,Mexico
Santiago,Chile,TRUE,Santiago,Chile,-33.4488897,-70.6692655,Media arts,n/a,n/a,Biennial,International,1993,2017,Santiago,Chile,Latin America
Sharjah,United Arab Emirates,TRUE,Sharjah,United Arab Emirates,25.3461806,55.4210708,Contemporary art,Tohmé Christine,Lebanon,Biennial,International,1993,2017,Sharjah,United Arab Emirates,Middle East
Brisbane,Australia,TRUE,Brisbane,Australia,-27.4704528,153.0260341,Contemporary art,n/a,n/a,Triennial,International,1993,2018,Brisbane,Australia,Oceania
Curitiba,Brazil,TRUE,Curitiba,Brazil,-25.4372382,-49.2699727,Contemporary art,Scaringella Massimo,Italy,Biennial,International,1993,2018,Curitiba,Brazil,Western Europe
Bamako,Mali,TRUE,Bamako,Mali,12.6392316,-8.0028892,Photography,Yemsi Marie-Ann,German,Biennial,International,1994,2017,Bamako,Mali,Africa
Hamilton,Bermuda,TRUE,Hamilton,Bermuda,37.1929578,-95.7175467,Contemporary art,"Breilmaier Isolde, Messina Melissa","USA, USA",Biennial,International,1994,2018,Hamilton,Bermuda,Caribbean
Moscow,Russia,TRUE,Moscow,Russia,55.755826,37.6172999,Photography,n/a,n/a,Biennial,International,1994,2018,Moscow,Russia,Eastern Europe
Bitola,Macedonia,TRUE,Bitola,Macedonia,41.0296773,21.3292164,Graphic art,n/a,n/a,Biennial,International,1994,2018,Bitola,Macedonia,Macedonia
Gwangju,South Korea,TRUE,Gwangju,South Korea,35.1595454,126.8526012,Contemporary art,"Kim Clara, Kim Christine Y., Gonzalez Rita, Gaweewong Gridthiya, Yeon Shim Chung, Koon Yeewan, Teh David, Kim Man Seok, Kim Sung Woo, Paek Chong-Ok, Muhn B.G.","USA, USA, USA, Thailand, South Korea,UK, Australia, South Korea, South Korea, South Korea, USA",Biennial,International,1995,2018,Gwangju,South Korea,Asia
Krasnoyarsk,Russia,TRUE,Krasnoyarsk,Russia,56.0152834,92.8932476,Contemporary art,"Bukova Maria, Hübner Ursula, Jelinek Sabine, Kovalevsky Sergey, Mraz Simon, Tarnopolski Vladimir, Taylor Svetlana, Urban Tobias, Wege Astrid, Zimmer Karin","Russia, Austria, Austria, Russia, Austria, Russia, Russia, Germany, Germany, Austria",Biennial,International,1995,2017,Krasnoyarsk,Russia,Eastern Europe
Santa Fe,USA,TRUE,Santa Fe,USA,35.6869752,-105.937799,Contemporary art,"Blondet José Louis, Hopkins Candice, Katrib Ruba",USA,Biennial,International,1995,2018,Santa Fe,USA,North America
