City,Country,city_match,city_geocode,country_geocode,latitude,longitude,Specialization,Curator_lastname_firstname,Curator_nationality_or_residence,Regularity,Local_or_international,First_edition_year,Last_Edition_year,City,Country,Region
Changwon,South Korea,TRUE,Changwon,South Korea,35.22469,128.68324,Sculpture,n/a,n/a,Biennial,International,2012,2018,Changwon,South Korea,Asia
Ramallah,Palestine,TRUE,Ramallah,Palestine,31.91982,35.16288,Contemporary art,n/a,n/a,Biennial,International,2012,2018,Ramallah,Palestine,Middle East
Montreal,Canada,TRUE,Montreal,Canada,45.56434,-73.6024,Digital art,Weibel Peter,Austria,Biennial,International,2012,2018,Montreal,Canada,North America
Cincinnati,USA,TRUE,Cincinnati,USA,39.16832,-84.48805,Photography,n/a,n/a,Biennial,International,2012,2018,Cincinnati,USA,North America
Garden City,USA,TRUE,Garden City,USA,30.49752,-91.15904,Sculpture,n/a,n/a,Biennial,Local,2012,2018,Garden City,USA,North America
Los Angeles,USA,TRUE,Los Angeles,USA,34.04014,-118.29757,Contemporary art,"Ellegood Anne, Christovale Erin",USA,Biennial,Local,2012,2018,Los Angeles,USA,North America
London,UK,TRUE,London,UK,51.51753,-0.11214,Contemporary art,n/a,n/a,Triennial,Local,2012,2018,London,UK,Western Europe
Pune,India,TRUE,Pune,India,18.51502,73.85104,Contemporary art,"Colah Zasha, Cerizza Luca","India, Italy",Biennial,International,2013,2017,Pune,India,Asia
Odessa,Ukraine,TRUE,Odessa,Ukraine,46.44158,30.7328,Contemporary art,Rashkovetsky Mikhail,Ukraine,Biennial,International,2013,2017,Odessa,Ukraine,Eastern Europe
Jerusalem,Israel,TRUE,Jerusalem,Israel,31.79002,35.20262,Contemporary art,n/a,n/a,Biennial,International,2013,2017,Jerusalem,Israel,Middle East
Orange County,USA,FALSE,Irvine,USA,33.6859,-117.79024,Contemporary art,Coblentz Cassandra,USA,Triennial,International,2013,2017,Orange County,USA,North America
online,online,TRUE,online,online,,,Digital art,n/a,n/a,Biennial,International,2013,2017,online,online,online
Innsbruck,Austria,TRUE,Innsbruck,Austria,47.27054,11.39509,Contemporary art,"Heubacher Franziska, Tabor Jürgen, Clarke Chris","Austria, Austria, Ireland",Biennial,International,2013,2018,Innsbruck,Austria,Western Europe
Muich,Germany,TRUE,Muich,Germany,,,Public art,"Doğtaş Gürsoy, Warsza Joanna","Turkey, Poland",Irregular,International,2013,2018,Muich,Germany,Western Europe
Stavanger,Norway,TRUE,Stavanger,Norway,58.95594,5.7189,"Public art, Moving image",Toft Ag Tanya,Denmark,Biennial,International,2013,2017,Stavanger,Norway,Western Europe
Kampala,Uganda,TRUE,Kampala,Uganda,0.324,32.58662,Contemporary art,Njami Simon,Switzerland,Biennial,International,2014,2018,Kampala,Uganda,Africa
Antarctica,Antarctica,TRUE,Antarctica,Antarctica,39.93305,116.34968,Contemporary art,Ponomarev Alexander,Russia,Biennial,International,2014,2018,Antarctica,Antarctica,Antarctica
Beijing,China,TRUE,Beijing,China,47.49622,19.04588,Photography,"De Wolf Hans, Meng Cai, Ferreira Ângela, Yining He","Belgium, China, Portugal, China",Biennial,International,2014,2018,Beijing,China,Asia
Budapest,Hungary,TRUE,Budapest,Hungary,44.64785,26.21688,Contemporary art,n/a,n/a,Biennial,International,2014,2017,Budapest,Hungary,Eastern Europe
Bucharest,Romania,TRUE,Bucharest,Romania,-23.49214,-47.46873,Contemporary art,Mikaeloff Hervé,France,Annual,Local,2014,2018,Bucharest,Romania,Eastern Europe
Sorocaba,Brazil,TRUE,Sorocaba,Brazil,51.89432,11.04268,Contemporary art,Labra Daniela,Brazil,Triennial,International,2014,2017,Sorocaba,Brazil,Latin America
Halberstadt,Germany,TRUE,Halberstadt,Germany,45.75228,21.23633,Contemporary art,Koszerek Pippa,UK,Biennial,International,2014,2018,Halberstadt,Germany,Western Europe
Timișoara,Romania,TRUE,Timișoara,Romania,-22.89286,-43.39352,Contemporary art,"Barak Ami, Marincu Diana","France, Romania",Biennial,International,2015,2017,Timișoara,Romania,Eastern Europe
Rio de Janeiro,Brazil,TRUE,Rio de Janeiro,Brazil,34.52675,69.16562,Sculpture,Murucci Alexandre,Brazil,Biennial,International,2015,2018,Rio de Janeiro,Brazil,Latin America
Kabul,Afghanistan,TRUE,Kabul,Afghanistan,42.53348,1.55266,Photography,n/a,n/a,Biennial,International,2015,2017,Kabul,Afghanistan,Middle East
Andorra,Andorra,TRUE,Andorra,Andorra,48.19231,16.37136,Land art,Moles Sans Pere,Andorra,Biennial,International,2015,2017,Andorra,Andorra,Western Europe
Vienna,Austria,TRUE,Vienna,Austria,51.2098,3.225,Contemporary art,"Faucheret Anne, Fitz Angelika, Jain Anab, Klein Amelie, Krasny Elke, Wirth Marlies, IDRV (Institute of Design Research Vienna)","Austria, Austria, India, Austria, Austria, Austria, Austria",Biennial,International,2015,2017,Vienna,Austria,Western Europe
Bruges,Belgium,TRUE,Bruges,Belgium,48.85756,2.3428,"Contemporary art, Public art, Architecture","Borchert Till-Holger, Dewilde Michel","Germany, Belgium",Triennial,International,2015,2018,Bruges,Belgium,Western Europe
Paris,France,TRUE,Paris,France,38.46786,106.25794,Photography,n/a,n/a,Biennial,International,2015,2017,Paris,France,Western Europe
Yinchuan,China,TRUE,Yinchuan,China,56.95623,24.12363,Contemporary art,"Scotini Marco, Brinkmanis Andris, Caffoni Paolo, Colah Zasha, Lu Xinghua","Italia, Latvia, Italia, India, China",Biennial,International,2016,2018,Yinchuan,China,Asia
Okayama City,Japan,TRUE,Okayama City,Japan,-34.60983,-58.45228,Contemporary art,Gillick Liam,UK,Triennial,International,2016,2016,Okayama City,Japan,Asia
Riga,Latvia,TRUE,Riga,Latvia,30.06752,31.2804,Photography,n/a,n/a,Biennial,International,2016,2018,Riga,Latvia,Eastern Europe
Buenos Aires,Argentina,TRUE,Buenos Aires,Argentina,34.93301,33.61866,"Contemporary art, Media art",n/a,n/a,Biennial,International,2016,2016,Buenos Aires,Argentina,Latin America
Cairo,Egypt,TRUE,Cairo,Egypt,44.27204,2.66188,Contemporary art,Njami Simon,Switzerland,Biennial,International,2016,2018,Cairo,Egypt,Middle East
Larnaca,Cyprus,TRUE,Larnaca,Cyprus,6.48937,3.37709,Contemporary art,n/a,n/a,Biennial,International,2016,2018,Larnaca,Cyprus,Western Europe
Aveyron,France,TRUE,Aveyron,France,40.15447,44.50791,Ceramics,n/a,n/a,Biennial,International,2016,2018,Aveyron,France,Western Europe
Lagos,Nigeria,TRUE,Lagos,Nigeria,13.06841,80.24091,Contemporary art,"Oshun Folakunle, Haizel Kelvin, Ohene-Aye Kwasi","Nigeria, Ghana, Ghana",Biennial,International,2017,2017,Lagos,Nigeria,Africa
Yerevan,Armenia,TRUE,Yerevan,Armenia,3.14453,101.68948,Graphic art,n/a,n/a,Biennial,International,2017,2017,Yerevan,Armenia,Asia
Chennai,India,TRUE,Chennai,India,24.86093,67.08691,Photography,n/a,n/a,Biennial,International,2017,2017,Chennai,India,Asia
Suzu City,Japan,TRUE,Suzu City,Japan,33.50014,126.52278,Contemporary art,Kitagawa Fram,Japan,Triennial,International,2017,2017,Suzu City,Japan,Asia
Kuala Lumpur,Malaysia,TRUE,Kuala Lumpur,Malaysia,55.75706,37.60976,Contemporary art,Yusof Zulkifli,Malaysia,Biennial,Local,2017,2017,Kuala Lumpur,Malaysia,Asia
Karachi,Pakistan,TRUE,Karachi,Pakistan,-34.60983,-58.45228,Contemporary art,Gulgee Amin,Pakistan,Biennial,International,2017,2017,Karachi,Pakistan,Asia
Jeju,South Korea,TRUE,Jeju,South Korea,47.55355,-52.78882,Contemporary art,"Kim Jiyon, Rhee Sangmi",South Korea,Biennial,International,2017,2017,Jeju,South Korea,Asia
Moscow,Russia,TRUE,Moscow,Russia,33.6674,-116.17776,Contemporary art,Fowle Kate,UK,Triennial,Local,2017,2017,Moscow,Russia,Eastern Europe
Buenos Aires,Argentina,TRUE,Buenos Aires,Argentina,21.31158,-157.83411,Contemporary art,Wechsler Diana,Argentina,Biennial,International,2017,2017,Buenos Aires,Argentina,Latin America
Newfoundland,Canada,TRUE,Newfoundland,Canada,-37.81585,144.96313,Contemporary art,n/a,n/a,Biennial,Local,2017,2017,Newfoundland,Canada,North America
Coachella Valley,USA,TRUE,Coachella Valley,USA,56.16355,10.18813,"Contemporary art, Site-specific art",Wakefield Neville,USA,Biennial,International,2017,2017,Coachella Valley,USA,North America
Honolulu,USA,TRUE,Honolulu,USA,55.69059,12.54786,Contemporary art,"Nanjo Fumio, Mason Ngahiraka","Japan, New Zealand",Biennial,International,2017,2017,Honolulu,USA,North America
Melbourne,Australia,TRUE,Melbourne,Australia,30.53196,103.67023,Contemporary art,n/a,n/a,Triennial,International,2017,2017,Melbourne,Australia,Oceania
Aarhus,Denmark,TRUE,Aarhus,Denmark,22.55345,114.08583,"Modern art, Early modern art, Contemporary art",Høyersten Erlend,Norway,Triennial,International,2017,2017,Aarhus,Denmark,Western Europe
Copenhagen,Denmark,TRUE,Copenhagen,Denmark,14.57422,121.00404,Contemporary art,"Mišković Tijana, Geoffroy Thierry","Denmark, Denmark",Biennial,International,2017,2017,Copenhagen,Denmark,Western Europe
Anren,China,TRUE,Anren,China,13.74127,100.4969,Contemporary art,Peng Lu,China,Biennial,International,2018,2017,Anren,China,Asia
Shenzhen,China,TRUE,Shenzhen,China,8.07367,98.90067,Contemporary art,"Tang Zehui, Fang Miner, Fong Janet","China, China, Hong Kong",Biennial,International,2018,2018,Shenzhen,China,Asia
Manila,Philippines,TRUE,Manila,Philippines,56.95623,24.12363,Contemporary art,Bunoan Ringo S.,Philippines,Biennial,International,2018,2018,Manila,Philippines,Asia
Bangkok,Thailand,TRUE,Bangkok,Thailand,-22.89286,-43.39352,Contemporary art,Poshyananda Apinan,Thailand,Biennial,International,2018,2018,Bangkok,Thailand,Asia
Krabi,Thailand,TRUE,Krabi,Thailand,31.53475,74.34175,Contemporary art,Jiehong Jiang,UK,Biennial,International,2018,2018,Krabi,Thailand,Asia
Riga,Latvia,TRUE,Riga,Latvia,40.4437,-95.06044,Contemporary art,Gregos Katerina,Greece,Biennial,International,2018,2018,Riga,Latvia,Eastern Europe
Rio de Janeiro,Brazil,TRUE,Rio de Janeiro,Brazil,48.85756,2.3428,Digital art,n/a,n/a,Biennial,International,2018,2018,Rio de Janeiro,Brazil,Latin America
Lahore,Pakistan,TRUE,Lahore,Pakistan,48.57711,7.75228,Contemporary art,Rahim Qudsia,Pakistan,Biennial,Local,2018,2018,Lahore,Pakistan,Middle East
Cleveland,USA,TRUE,Cleveland,USA,40.4437,-95.06044,Contemporary art,Grabner Michelle,USA,Triennial,International,2018,2018,Cleveland,USA,North America
Paris,France,TRUE,Paris,France,48.85756,2.3428,Photography,n/a,n/a,Biennial,International,2018,2018,Paris,France,Western Europe
Strasbourg,France,TRUE,Strasbourg,France,48.57711,7.75228,Contemporary art,Khouaidjia Yasmina,France,Biennial,International,2018,2018,Strasbourg,France,Western Europe
